Year,Ward,Dwellings,Residents,Vehicles,Age 65 +,Voters,CENSUS_YEAR
04/01/1958 12:00:00 AM,,64288,206831,,,,1958
04/01/1959 12:00:00 AM,,,218418,,,121813,1959
04/01/1960 12:00:00 AM,,72987,235428,,,,1960
04/01/1961 12:00:00 AM,1,,38462,11455,,21784,1961
04/01/1961 12:00:00 AM,2,,35935,10201,,19782,1961
04/01/1961 12:00:00 AM,3,,40917,11326,,20186,1961
04/01/1961 12:00:00 AM,4,,40838,11050,,25441,1961
04/01/1961 12:00:00 AM,5,,41354,9412,,22733,1961
04/01/1961 12:00:00 AM,6,,44167,13358,,22307,1961
04/01/1962 12:00:00 AM,1,12808,42422,,,,1962
04/01/1962 12:00:00 AM,2,10892,37175,,,,1962
04/01/1962 12:00:00 AM,3,11196,42564,,,,1962
04/01/1962 12:00:00 AM,4,15906,40321,,,,1962
04/01/1962 12:00:00 AM,5,17040,55707,,,,1962
04/01/1962 12:00:00 AM,6,13768,50879,,,,1962
04/01/1963 12:00:00 AM,1,,44860,,,24636,1963
04/01/1963 12:00:00 AM,2,,38183,,,20837,1963
04/01/1963 12:00:00 AM,3,,44067,,,21663,1963
04/01/1963 12:00:00 AM,4,,38662,,,25097,1963
04/01/1963 12:00:00 AM,5,,56804,,,29854,1963
04/01/1963 12:00:00 AM,6,,54399,,,26805,1963
04/01/1964 12:00:00 AM,1,16127,52872,16514,,,1964
04/01/1964 12:00:00 AM,2,11987,39799,12139,,,1964
04/01/1964 12:00:00 AM,3,12438,46192,13815,,,1964
04/01/1964 12:00:00 AM,4,18522,40189,12142,,,1964
04/01/1964 12:00:00 AM,5,19348,57396,14496,,,1964
04/01/1964 12:00:00 AM,6,15508,58476,18425,,,1964
04/01/1965 12:00:00 AM,1,16931,55580,,,,1965
04/01/1965 12:00:00 AM,2,12217,40330,,,,1965
04/01/1965 12:00:00 AM,3,15032,56259,,,,1965
04/01/1965 12:00:00 AM,4,18636,40851,,,,1965
04/01/1965 12:00:00 AM,5,19430,57856,,,,1965
04/01/1965 12:00:00 AM,6,15921,60240,,,,1965
04/01/1966 12:00:00 AM,1,17716,58670,,,,1966
04/01/1966 12:00:00 AM,2,12510,41792,,,,1966
04/01/1966 12:00:00 AM,3,15416,57591,,,,1966
04/01/1966 12:00:00 AM,4,18680,41481,,,,1966
04/01/1966 12:00:00 AM,5,19795,59237,,,,1966
04/01/1966 12:00:00 AM,6,17064,64518,,,,1966
04/01/1967 12:00:00 AM,1,18253,61402,,,,1967
04/01/1967 12:00:00 AM,2,12765,42662,,,,1967
04/01/1967 12:00:00 AM,3,15762,59406,,,,1967
04/01/1967 12:00:00 AM,4,19102,42551,,,,1967
04/01/1967 12:00:00 AM,5,19867,61213,,,,1967
04/01/1967 12:00:00 AM,6,17966,68572,,,,1967
04/01/1968 12:00:00 AM,1,19036,66082,,4019,,1968
04/01/1968 12:00:00 AM,2,13425,44918,,2368,,1968
04/01/1968 12:00:00 AM,3,16226,61972,,2604,,1968
04/01/1968 12:00:00 AM,4,19884,44471,,5043,,1968
04/01/1968 12:00:00 AM,5,20248,63426,,4892,,1968
04/01/1968 12:00:00 AM,6,19146,73987,,2541,,1968
04/01/1969 12:00:00 AM,1,15321,58501,,,,1969
04/01/1969 12:00:00 AM,2,20188,65098,,,,1969
04/01/1969 12:00:00 AM,3,18698,69806,,,,1969
04/01/1969 12:00:00 AM,4,27380,65158,,,,1969
04/01/1969 12:00:00 AM,5,18020,59264,,,,1969
04/01/1969 12:00:00 AM,6,13040,51198,,,,1969
04/01/1970 12:00:00 AM,1,16377,61582,,,,1970
04/01/1970 12:00:00 AM,2,21977,69000,,,,1970
04/01/1970 12:00:00 AM,3,18945,69401,,,,1970
04/01/1970 12:00:00 AM,4,29058,66359,,,,1970
04/01/1970 12:00:00 AM,5,18933,60798,,,,1970
04/01/1970 12:00:00 AM,6,15587,58296,,,,1970
04/01/1971 12:00:00 AM,1,17401,63467,,,,1971
04/01/1971 12:00:00 AM,2,22637,69699,,,,1971
04/01/1971 12:00:00 AM,3,19519,69174,,,,1971
04/01/1971 12:00:00 AM,4,31491,68078,,,,1971
04/01/1971 12:00:00 AM,5,21270,63785,,,,1971
04/01/1971 12:00:00 AM,6,17673,63831,,,,1971
04/01/1972 12:00:00 AM,1,18512,64950,,,,1972
04/01/1972 12:00:00 AM,2,24245,72139,,,,1972
04/01/1972 12:00:00 AM,3,20751,70083,,,,1972
04/01/1972 12:00:00 AM,4,32285,66852,,,,1972
04/01/1972 12:00:00 AM,5,23338,69054,,,,1972
04/01/1972 12:00:00 AM,6,19764,69699,,,,1972
04/01/1973 12:00:00 AM,1,19423,65889,,,,1973
04/01/1973 12:00:00 AM,2,25115,72957,,,,1973
04/01/1973 12:00:00 AM,3,20960,69364,,,,1973
04/01/1973 12:00:00 AM,4,32880,65229,,,,1973
04/01/1973 12:00:00 AM,5,25642,75036,,,,1973
04/01/1973 12:00:00 AM,6,21973,76312,,,,1973
04/01/1974 12:00:00 AM,1,20716,67588,,,,1974
04/01/1974 12:00:00 AM,2,26213,73191,,,,1974
04/01/1974 12:00:00 AM,3,21075,67430,,,,1974
04/01/1974 12:00:00 AM,4,34075,63616,,,,1974
04/01/1974 12:00:00 AM,5,27287,79989,,,,1974
04/01/1974 12:00:00 AM,6,24479,81575,,,,1974
04/01/1975 12:00:00 AM,1,22075,70066,,,,1975
04/01/1975 12:00:00 AM,2,28035,77152,,,,1975
04/01/1975 12:00:00 AM,3,21070,66530,,,,1975
04/01/1975 12:00:00 AM,4,34646,64603,,,,1975
04/01/1975 12:00:00 AM,5,28439,85757,,,,1975
04/01/1975 12:00:00 AM,6,26701,89704,,,,1975
04/01/1976 12:00:00 AM,1,23051,72568,,,,1976
04/01/1976 12:00:00 AM,2,30682,81825,,,,1976
04/01/1976 12:00:00 AM,3,21241,65623,,,,1976
04/01/1976 12:00:00 AM,4,34444,65364,,,,1976
04/01/1976 12:00:00 AM,5,30788,90616,,,,1976
04/01/1976 12:00:00 AM,6,28909,94047,,,,1976
04/01/1977 12:00:00 AM,1,13201,38569,,,,1977
04/01/1977 12:00:00 AM,2,10390,30840,,,,1977
04/01/1977 12:00:00 AM,3,11069,37554,,,,1977
04/01/1977 12:00:00 AM,4,15786,38970,,,,1977
04/01/1977 12:00:00 AM,5,10398,30105,,,,1977
04/01/1977 12:00:00 AM,6,10048,28636,,,,1977
04/01/1977 12:00:00 AM,7,17317,34874,,,,1977
04/01/1977 12:00:00 AM,8,21152,38613,,,,1977
04/01/1977 12:00:00 AM,9,13788,31728,,,,1977
04/01/1977 12:00:00 AM,10,12165,41722,,,,1977
04/01/1977 12:00:00 AM,11,11589,36889,,,,1977
04/01/1977 12:00:00 AM,12,11897,35972,,,,1977
04/01/1977 12:00:00 AM,13,10670,30560,,,,1977
04/01/1977 12:00:00 AM,14,9410,32537,,,,1977
04/01/1978 12:00:00 AM,1,14450,41406,,,,1978
04/01/1978 12:00:00 AM,2,11688,32127,,,,1978
04/01/1978 12:00:00 AM,3,11875,37820,,,,1978
04/01/1978 12:00:00 AM,4,16277,38420,,,,1978
04/01/1978 12:00:00 AM,5,13492,37718,,,,1978
04/01/1978 12:00:00 AM,6,10503,28334,,,,1978
04/01/1978 12:00:00 AM,7,18094,34563,,,,1978
04/01/1978 12:00:00 AM,8,22003,37881,,,,1978
04/01/1978 12:00:00 AM,9,14093,31528,,,,1978
04/01/1978 12:00:00 AM,10,13218,42467,,,,1978
04/01/1978 12:00:00 AM,11,11737,36346,,,,1978
04/01/1978 12:00:00 AM,12,11940,35868,,,,1978
04/01/1978 12:00:00 AM,13,13057,36387,,,,1978
04/01/1978 12:00:00 AM,14,10032,34772,,,,1978
04/01/1979 12:00:00 AM,1,15666,44858,,,,1979
04/01/1979 12:00:00 AM,2,12781,34982,,,,1979
04/01/1979 12:00:00 AM,3,12506,38868,,,,1979
04/01/1979 12:00:00 AM,4,16643,38619,,,,1979
04/01/1979 12:00:00 AM,5,16454,45954,,,,1979
04/01/1979 12:00:00 AM,6,11311,29028,,,,1979
04/01/1979 12:00:00 AM,7,18301,34247,,,,1979
04/01/1979 12:00:00 AM,8,22848,37411,,,,1979
04/01/1979 12:00:00 AM,9,14581,32196,,,,1979
04/01/1979 12:00:00 AM,10,14207,44988,,,,1979
04/01/1979 12:00:00 AM,11,11916,35456,,,,1979
04/01/1979 12:00:00 AM,12,12067,34933,,,,1979
04/01/1979 12:00:00 AM,13,14848,42792,,,,1979
04/01/1979 12:00:00 AM,14,10582,36484,,,,1979
04/01/1980 12:00:00 AM,1,16156,46316,,,,1980
04/01/1980 12:00:00 AM,2,13993,38204,,,,1980
04/01/1980 12:00:00 AM,3,14003,41822,,,,1980
04/01/1980 12:00:00 AM,4,17098,39133,,,,1980
04/01/1980 12:00:00 AM,5,18620,56047,,,,1980
04/01/1980 12:00:00 AM,6,12141,30848,,,,1980
04/01/1980 12:00:00 AM,7,19264,34933,,,,1980
04/01/1980 12:00:00 AM,8,23985,38982,,,,1980
04/01/1980 12:00:00 AM,9,14628,32921,,,,1980
04/01/1980 12:00:00 AM,10,14626,47138,,,,1980
04/01/1980 12:00:00 AM,11,12588,34847,,,,1980
04/01/1980 12:00:00 AM,12,12031,34397,,,,1980
04/01/1980 12:00:00 AM,13,16393,46773,,,,1980
04/01/1980 12:00:00 AM,14,11217,38257,,,,1980
04/01/1981 12:00:00 AM,1,16572,47315,,,,1981
04/01/1981 12:00:00 AM,2,14834,40678,,,,1981
04/01/1981 12:00:00 AM,3,15383,46381,,,,1981
04/01/1981 12:00:00 AM,4,17409,39255,,,,1981
04/01/1981 12:00:00 AM,5,21807,65466,,,,1981
04/01/1981 12:00:00 AM,6,12852,32759,,,,1981
04/01/1981 12:00:00 AM,7,19383,35905,,,,1981
04/01/1981 12:00:00 AM,8,24371,41234,,,,1981
04/01/1981 12:00:00 AM,9,15124,33199,,,,1981
04/01/1981 12:00:00 AM,10,15079,48362,,,,1981
04/01/1981 12:00:00 AM,11,12859,35629,,,,1981
04/01/1981 12:00:00 AM,12,12065,33753,,,,1981
04/01/1981 12:00:00 AM,13,18444,51808,,,,1981
04/01/1981 12:00:00 AM,14,11860,40113,,,,1981
04/01/1982 12:00:00 AM,1,16917,47889,,,,1982
04/01/1982 12:00:00 AM,2,15896,43445,,,,1982
04/01/1982 12:00:00 AM,3,16620,49330,,,,1982
04/01/1982 12:00:00 AM,4,17781,39670,,,,1982
04/01/1982 12:00:00 AM,5,24411,76381,,,,1982
04/01/1982 12:00:00 AM,6,13739,33411,,,,1982
04/01/1982 12:00:00 AM,7,19780,35728,,,,1982
04/01/1982 12:00:00 AM,8,25406,42386,,,,1982
04/01/1982 12:00:00 AM,9,15523,34065,,,,1982
04/01/1982 12:00:00 AM,10,16085,50532,,,,1982
04/01/1982 12:00:00 AM,11,13196,36432,,,,1982
04/01/1982 12:00:00 AM,12,12688,33692,,,,1982
04/01/1982 12:00:00 AM,13,20466,58351,,,,1982
04/01/1982 12:00:00 AM,14,12802,41821,,,,1982
04/01/1983 12:00:00 AM,1,17447,46616,,,,1983
04/01/1983 12:00:00 AM,2,16494,44181,,,,1983
04/01/1983 12:00:00 AM,3,16630,47110,,,,1983
04/01/1983 12:00:00 AM,4,19074,41122,,,,1983
04/01/1983 12:00:00 AM,5,18040,54926,,,,1983
04/01/1983 12:00:00 AM,6,16265,38676,,,,1983
04/01/1983 12:00:00 AM,7,19706,34363,,,,1983
04/01/1983 12:00:00 AM,8,27493,40573,,,,1983
04/01/1983 12:00:00 AM,9,21629,52250,,,,1983
04/01/1983 12:00:00 AM,10,16787,52795,,,,1983
04/01/1983 12:00:00 AM,11,11179,30527,,,,1983
04/01/1983 12:00:00 AM,12,17852,46664,,,,1983
04/01/1983 12:00:00 AM,13,17385,48755,,,,1983
04/01/1983 12:00:00 AM,14,13415,42134,,,,1983
04/01/1984 12:00:00 AM,1,17685,45775,,,,1984
04/01/1984 12:00:00 AM,2,17251,45597,,,,1984
04/01/1984 12:00:00 AM,3,16845,47463,,,,1984
04/01/1984 12:00:00 AM,4,19287,39842,,,,1984
04/01/1984 12:00:00 AM,5,18500,56330,,,,1984
04/01/1984 12:00:00 AM,6,16421,38446,,,,1984
04/01/1984 12:00:00 AM,7,19874,33073,,,,1984
04/01/1984 12:00:00 AM,8,27352,40093,,,,1984
04/01/1984 12:00:00 AM,9,22107,51445,,,,1984
04/01/1984 12:00:00 AM,10,17025,51623,,,,1984
04/01/1984 12:00:00 AM,11,11339,29758,,,,1984
04/01/1984 12:00:00 AM,12,17848,45848,,,,1984
04/01/1984 12:00:00 AM,13,17742,50814,,,,1984
04/01/1984 12:00:00 AM,14,13931,43707,,,,1984
04/01/1985 12:00:00 AM,1,17757,45907,,,,1985
04/01/1985 12:00:00 AM,2,17698,47444,,,,1985
04/01/1985 12:00:00 AM,3,16944,47685,,,,1985
04/01/1985 12:00:00 AM,4,19239,39445,,,,1985
04/01/1985 12:00:00 AM,5,18632,56618,,,,1985
04/01/1985 12:00:00 AM,6,16527,38359,,,,1985
04/01/1985 12:00:00 AM,7,19922,33955,,,,1985
04/01/1985 12:00:00 AM,8,27270,40996,,,,1985
04/01/1985 12:00:00 AM,9,22389,51080,,,,1985
04/01/1985 12:00:00 AM,10,17167,51719,,,,1985
04/01/1985 12:00:00 AM,11,11337,29448,,,,1985
04/01/1985 12:00:00 AM,12,17889,45431,,,,1985
04/01/1985 12:00:00 AM,13,18155,52538,,,,1985
04/01/1985 12:00:00 AM,14,14109,44518,,,,1985
04/01/1986 12:00:00 AM,1,17955,46752,,,,1986
04/01/1986 12:00:00 AM,2,18356,49692,,,,1986
04/01/1986 12:00:00 AM,3,17114,48702,,,,1986
04/01/1986 12:00:00 AM,4,19117,39020,,,,1986
04/01/1986 12:00:00 AM,5,19061,59082,,,,1986
04/01/1986 12:00:00 AM,6,16724,39610,,,,1986
04/01/1986 12:00:00 AM,7,19801,34362,,,,1986
04/01/1986 12:00:00 AM,8,27122,42092,,,,1986
04/01/1986 12:00:00 AM,9,22345,52217,,,,1986
04/01/1986 12:00:00 AM,10,17214,52676,,,,1986
04/01/1986 12:00:00 AM,11,11286,29338,,,,1986
04/01/1986 12:00:00 AM,12,18079,45238,,,,1986
04/01/1986 12:00:00 AM,13,18681,55377,,,,1986
04/01/1986 12:00:00 AM,14,14529,46487,,,,1986
04/01/1987 12:00:00 AM,1,18069,47089,,,,1987
04/01/1987 12:00:00 AM,2,18685,50845,,,,1987
04/01/1987 12:00:00 AM,3,17308,49132,,,,1987
04/01/1987 12:00:00 AM,4,19066,39298,,,,1987
04/01/1987 12:00:00 AM,5,19292,60756,,,,1987
04/01/1987 12:00:00 AM,6,17136,39885,,,,1987
04/01/1987 12:00:00 AM,7,19709,34787,,,,1987
04/01/1987 12:00:00 AM,8,27055,41907,,,,1987
04/01/1987 12:00:00 AM,9,22208,52195,,,,1987
04/01/1987 12:00:00 AM,10,17269,53285,,,,1987
04/01/1987 12:00:00 AM,11,11293,29257,,,,1987
04/01/1987 12:00:00 AM,12,18092,44763,,,,1987
04/01/1987 12:00:00 AM,13,19126,56374,,,,1987
04/01/1987 12:00:00 AM,14,14854,47712,,,,1987
04/01/1988 12:00:00 AM,1,18573,47418,,,,1988
04/01/1988 12:00:00 AM,2,19350,52598,,,,1988
04/01/1988 12:00:00 AM,3,17528,49765,,,,1988
04/01/1988 12:00:00 AM,4,18998,39150,,,,1988
04/01/1988 12:00:00 AM,5,19645,62965,,,,1988
04/01/1988 12:00:00 AM,6,17514,40802,,,,1988
04/01/1988 12:00:00 AM,7,19599,34273,,,,1988
04/01/1988 12:00:00 AM,8,27004,42074,,,,1988
04/01/1988 12:00:00 AM,9,22431,52892,,,,1988
04/01/1988 12:00:00 AM,10,17309,54159,,,,1988
04/01/1988 12:00:00 AM,11,11302,28723,,,,1988
04/01/1988 12:00:00 AM,12,18358,44561,,,,1988
04/01/1988 12:00:00 AM,13,19744,58161,,,,1988
04/01/1988 12:00:00 AM,14,15549,49577,,,,1988
04/01/1989 12:00:00 AM,1,18685,48468,,,,1989
04/01/1989 12:00:00 AM,2,20020,54694,,,,1989
04/01/1989 12:00:00 AM,3,17864,51099,,,,1989
04/01/1989 12:00:00 AM,4,19121,38870,,,,1989
04/01/1989 12:00:00 AM,5,19919,65462,,,,1989
04/01/1989 12:00:00 AM,6,17728,42058,,,,1989
04/01/1989 12:00:00 AM,7,19552,34173,,,,1989
04/01/1989 12:00:00 AM,8,26829,42209,,,,1989
04/01/1989 12:00:00 AM,9,22729,53993,,,,1989
04/01/1989 12:00:00 AM,10,17335,54475,,,,1989
04/01/1989 12:00:00 AM,11,11318,28596,,,,1989
04/01/1989 12:00:00 AM,12,18349,44902,,,,1989
04/01/1989 12:00:00 AM,13,20297,60239,,,,1989
04/01/1989 12:00:00 AM,14,16225,51900,,,,1989
04/01/1990 12:00:00 AM,1,19047,49443,,,,1990
04/01/1990 12:00:00 AM,2,19058,52976,,,,1990
04/01/1990 12:00:00 AM,3,18480,52852,,,,1990
04/01/1990 12:00:00 AM,4,19146,39452,,,,1990
04/01/1990 12:00:00 AM,5,20893,67861,,,,1990
04/01/1990 12:00:00 AM,6,18610,43460,,,,1990
04/01/1990 12:00:00 AM,7,22241,40534,,,,1990
04/01/1990 12:00:00 AM,8,26852,43378,,,,1990
04/01/1990 12:00:00 AM,9,23320,56030,,,,1990
04/01/1990 12:00:00 AM,10,17459,55319,,,,1990
04/01/1990 12:00:00 AM,11,11581,28957,,,,1990
04/01/1990 12:00:00 AM,12,20960,51956,,,,1990
04/01/1990 12:00:00 AM,13,18780,55790,,,,1990
04/01/1990 12:00:00 AM,14,17325,54877,,,,1990
04/01/1991 12:00:00 AM,1,19249,50196,,,,1991
04/01/1991 12:00:00 AM,2,19525,56635,,,,1991
04/01/1991 12:00:00 AM,3,18809,53940,,,,1991
04/01/1991 12:00:00 AM,4,19165,39706,,,,1991
04/01/1991 12:00:00 AM,5,21195,70050,,,,1991
04/01/1991 12:00:00 AM,6,18994,45228,,,,1991
04/01/1991 12:00:00 AM,7,22170,40366,,,,1991
04/01/1991 12:00:00 AM,8,26732,43313,,,,1991
04/01/1991 12:00:00 AM,9,23498,57769,,,,1991
04/01/1991 12:00:00 AM,10,17537,55707,,,,1991
04/01/1991 12:00:00 AM,11,11602,28780,,,,1991
04/01/1991 12:00:00 AM,12,20977,51210,,,,1991
04/01/1991 12:00:00 AM,13,19281,58020,,,,1991
04/01/1991 12:00:00 AM,14,17863,57673,,,,1991
04/01/1992 12:00:00 AM,1,19510,50648,,,,1992
04/01/1992 12:00:00 AM,2,20414,58597,,,,1992
04/01/1992 12:00:00 AM,3,19523,55323,,,,1992
04/01/1992 12:00:00 AM,4,19180,39253,,,,1992
04/01/1992 12:00:00 AM,5,21872,71794,,,,1992
04/01/1992 12:00:00 AM,6,19495,46204,,,,1992
04/01/1992 12:00:00 AM,7,22158,40201,,,,1992
04/01/1992 12:00:00 AM,8,26753,41860,,,,1992
04/01/1992 12:00:00 AM,9,24283,59206,,,,1992
04/01/1992 12:00:00 AM,10,17741,55439,,,,1992
04/01/1992 12:00:00 AM,11,11615,28918,,,,1992
04/01/1992 12:00:00 AM,12,21040,50937,,,,1992
04/01/1992 12:00:00 AM,13,19813,59348,,,,1992
04/01/1992 12:00:00 AM,14,18542,59405,,,,1992
04/01/1993 12:00:00 AM,1,19813,50864,,,,1993
04/01/1993 12:00:00 AM,2,21732,62167,,,,1993
04/01/1993 12:00:00 AM,3,19508,57732,,,,1993
04/01/1993 12:00:00 AM,4,22076,47330,,,,1993
04/01/1993 12:00:00 AM,5,18702,61254,,,,1993
04/01/1993 12:00:00 AM,6,20095,47541,,,,1993
04/01/1993 12:00:00 AM,7,25849,45460,,,,1993
04/01/1993 12:00:00 AM,8,26896,41882,,,,1993
04/01/1993 12:00:00 AM,9,19170,50410,,,,1993
04/01/1993 12:00:00 AM,10,17951,55452,,,,1993
04/01/1993 12:00:00 AM,11,20945,48110,,,,1993
04/01/1993 12:00:00 AM,12,20243,53596,,,,1993
04/01/1993 12:00:00 AM,13,18913,54404,,,,1993
04/01/1993 12:00:00 AM,14,16143,51517,,,,1993
04/01/1994 12:00:00 AM,1,20215,51235,,,,1994
04/01/1994 12:00:00 AM,2,22991,66021,,,,1994
04/01/1994 12:00:00 AM,3,20182,59184,,,,1994
04/01/1994 12:00:00 AM,4,21967,46649,,,,1994
04/01/1994 12:00:00 AM,5,19087,62239,,,,1994
04/01/1994 12:00:00 AM,6,20628,48772,,,,1994
04/01/1994 12:00:00 AM,7,25842,45166,,,,1994
04/01/1994 12:00:00 AM,8,27010,41780,,,,1994
04/01/1994 12:00:00 AM,9,19808,51976,,,,1994
04/01/1994 12:00:00 AM,10,18200,55361,,,,1994
04/01/1994 12:00:00 AM,11,20991,47600,,,,1994
04/01/1994 12:00:00 AM,12,20517,54007,,,,1994
